"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"N-Acetyl-L-Alanine",18.0739357896081,18.0993461349984,17.6784573329145,17.7138184228297,17.5930687780702,18.0087949730931,17.6242954884926,17.4613525650209,17.1191437720933,17.3942090909103,17.3392034665531,17.8288338253421,17.4958088225014,17.2027353731959,17.6736439148936,17.3454838226587,16.7353226130591,16.9638372292328,17.1021769222313,18.2444991714126,17.0729277723309,16.9916356874249,17.8874258467259,17.6291309684899,16.8535208578882
"N-Carbamoyl-L-aspartate",14.3535424259755,15.2017152310847,13.1262230193153,13.6858279700298,13.2759327647008,12.9458267072323,13.3069819919765,13.3674451940432,13.7340252418726,14.639513292488,11.6110066874528,14.2745275522144,12.1891488427241,15.4656533252242,12.5765759782112,12.9231518357202,12.8608118519254,15.2693204261551,14.0116250580873,12.8466093240321,15.7454081240886,14.3883854548147,13.474784055388,13.6641600446274,13.4358888504674
"Nicotinamide adenine dinucleotide",20.4584079455772,20.7379247932424,21.5276326904347,21.4296393830329,21.2691403360129,21.1732528606473,20.8366186535965,21.2774998316507,20.6461183565984,20.5778784705592,21.2697867750772,21.6258585129288,22.091832898306,21.5381373000904,20.861670387408,21.5941387591231,21.1399856785938,21.7647554239822,22.0694103847675,21.8890112999224,20.5576482249341,22.1536187164845,21.503978811512,22.0006757594344,21.4091392819628
"Nicotinamide adenine dinucleotide phosphate",13.9591102392304,14.2477762255855,13.8260937671854,14.7699249121552,13.6670843402951,13.7957956801685,13.823059638977,13.7665248690645,14.3196943055007,13.9013315357464,14.0145583421082,14.6579859505008,14.3759787867667,15.7461649472899,14.7581515214498,14.8634299987383,14.5191633717196,15.0802575002452,14.8863741407198,13.9325370767837,15.2860223627054,14.3455421809969,14.7752298066964,14.4043553128985,15.0811535685785
"Nicotinate",17.1479960546614,16.7799759569885,12.5875347185465,13.9160371398073,13.7493930333496,15.8445487397785,14.5910470681028,13.5595602599682,15.6955357017907,13.3798698943246,13.5905356846836,18.5535208448824,13.1830291677088,13.5980027496152,13.4595044039473,12.2597935282891,11.9988771062894,11.9040626291887,11.4108211899393,12.4459977520168,12.7341265712381,12.203958221671,16.4929888078169,13.0419496384187,12.287347049347
"Oxaloacetate",18.0420041944406,17.6276356734664,17.4411559161364,17.4396596158112,17.7246180065483,17.6107226767687,18.9698819378774,17.1642846556641,17.7100743964924,17.7577232703311,17.5097237138381,17.4409273298553,18.0478146296164,18.745272332611,17.5003580694729,16.9375477837272,18.3899986098385,18.1285423962526,18.5879109356865,18.24152230177,19.4197180579077,19.1819756676141,17.9484799262339,20.4737451515235,17.7914130606329
"Oxidized glutathione",21.045031925836,21.0865923779047,21.8924254256089,21.3628610952593,21.579184021902,21.1447072440984,20.7707373744394,20.945132477518,21.3966972744296,21.0046627428659,21.2432087347618,20.8780145157001,21.8417407384083,21.654357377091,21.9055946698025,22.020101755288,21.5289189287159,21.4421488386167,22.1275033483301,22.3070889254536,22.1682136850026,21.850727598174,22.041185543743,21.5322622605583,21.8319001792753
"p-aminobenzoate",13.4888140527258,14.3484707675965,15.1117201038324,14.3011258051774,15.0907241085323,14.4705526776348,15.1072384040991,14.9401630670906,14.721531132778,13.5512208492911,15.2910035037232,14.3686336730987,14.4757294908922,13.7491548351988,12.9797173565494,13.8891167088816,13.821689830658,14.1510011156779,14.33877247917,13.0706607434168,13.2755641083073,14.4519504844651,13.6805598439572,14.2942321350639,14.5162948239579
"Phenyllactic acid",15.0894412096459,13.726260091105,16.0440402670912,14.5396409525463,13.572841407035,15.0079540108083,13.7797318274623,13.5814752719098,14.4561936140783,15.3520229265939,16.8362077089736,14.9671701675151,12.121873841913,12.9891115334075,15.0332192076942,15.2756810625616,13.4619580055661,11.8265913857264,13.1600599598428,14.2487132844827,14.435117170406,14.2521608728196,12.6523209256653,13.0428070074234,14.3609150135801
"Phosphoenolpyruvate",15.5895345487142,14.4241377014211,15.8681730081509,14.6091585258368,15.0860247743251,15.4379168276087,15.4616903992875,14.9795381024772,15.2886750449873,15.1656675377531,15.3672818661037,15.0615682318039,15.0738623801223,14.6255495706361,15.2223341296744,15.7720850823786,14.6443843132738,14.4396054311395,16.068263552702,14.9374325565987,14.621941758224,14.5456074599087,15.2992457695908,15.733329506183,14.502291876225
"Prephenate",11.3799296474295,11.368322967431,10.8500083455864,11.058044167489,11.0452653802845,11.3590274021325,11.9254113971983,11.5449718235615,11.605633463441,11.3778719556031,11.8589349532254,11.1039300359053,10.7721140921995,11.8962863066594,11.1311271669428,11.1582224774815,11.3944909978204,12.010356524169,10.4897259845256,11.4891391352578,10.5336212467194,10.7884957754661,12.2174355177049,10.7689120665727,11.5765967087427
"Pyroglutamate",14.8282869969503,15.44056993247,17.3146403175831,16.032204816928,16.9256789967261,15.5634576521636,16.1576782200203,14.9782309314755,14.8628687763024,15.0323062125383,15.7775560674176,15.2958470621987,15.5531120529353,15.1325696609277,15.1049934360118,15.3462228176664,15.4630458268277,14.4621095673042,15.9727198896095,15.6327233858175,15.7513111718263,17.1493632646682,14.7740693258569,15.0583398627104,16.004901492863
"Pyrophosphate",20.8210772259702,19.798391767866,19.3311936753734,19.525024092623,19.0591772527141,19.809435250933,18.9553745514653,18.5124500288822,20.0848188047884,19.3109993345972,18.8486154618668,20.7043989483525,19.7895146652029,19.664809967963,19.9264721651083,18.7831089010409,18.7182217452586,18.8525963399776,18.9391570823486,19.7847764129512,18.8853044357005,19.0140974072721,18.7850440188429,19.2397303364909,19.7962570395935
"Reduced nicotinamide Adenine Dinucleotide",18.141095112828,18.4824548219278,19.2154644770521,19.3085020955594,19.0105461628576,18.6921278979817,18.5827454422386,18.7910526153996,18.4903787031433,18.2053714539212,18.6753375013874,19.1307402255806,19.7232763082139,19.542864205198,18.6694041239711,19.5168832810437,19.1695253289356,19.4313999898595,19.9125617840372,19.6910128856404,19.0188224499691,20.1896118620756,19.1849280072017,19.63657981777,19.1519430529961
